   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, Bubble_cmp, Bubble_swaps, Bubble_time, Merge_cmp, Merge_swaps, Merge_time
   0,             1,               0,              1,         1,           0,          0,          1,            0,           0,         1,           0,          0
   1,             1,               0,              0,         4,           1,          6,          1,            0,           0,         1,           0,          0
   2,             1,               0,              0,        13,           2,         12,          1,            0,           0,        11,           2,          0
   3,             3,               0,              0,        19,           3,         10,          5,            0,           0,        23,           5,          0
   4,             6,               1,              6,        32,           4,          0,         11,            1,           5,        37,           8,          1
   5,             8,               1,              0,        38,           5,          0,         19,            1,           0,        54,          12,          1
   6,            13,               4,              0,        60,           7,          1,         29,            4,           0,        69,          16,          1
   7,            17,               6,              0,        77,           8,          1,         41,            6,           0,        87,          20,          1
   8,            23,              10,              0,        88,          10,          1,         55,           10,           0,       101,          24,          1
   9,            28,              13,              0,       100,          11,          1,         71,           13,           0,       119,          29,          1
  10,            35,              18,              0,       120,          12,          1,         89,           18,           0,       142,          34,          1
  11,            38,              19,              0,       137,          14,          1,        109,           19,           1,       157,          39,          2
  12,            41,              20,              0,       148,          15,          1,        131,           20,           1,       172,          44,          2
  13,            45,              22,              0,       179,          16,          1,        155,           22,           1,       189,          49,          2
  14,            47,              22,              0,       183,          19,          1,        181,           22,           1,       215,          54,          2
  15,            56,              29,              0,       209,          21,          2,        209,           29,           1,       235,          59,          2
  16,            66,              37,              0,       220,          22,          2,        239,           37,           1,       253,          64,          2
  17,            78,              47,              1,       260,          25,          3,        271,           47,           1,       276,          70,          2
  18,            95,              62,              1,       269,          26,          2,        305,           62,           2,       292,          76,          2
  19,           109,              74,              1,       307,          28,          2,        341,           74,           2,       315,          82,          4
  20,           115,              78,              1,       319,          33,          2,        379,           78,           2,       344,          88,          3
  21,           130,              91,              1,       345,          30,          3,        419,           91,           2,       369,          94,          3
  22,           149,             108,              1,       366,          33,          3,        461,          108,           3,       384,         100,          4
  23,           153,             110,              1,       417,          34,          4,        505,          110,           3,       399,         106,          3
  24,           155,             110,              1,       383,          33,          3,        551,          110,           3,       423,         112,          3
  25,           178,             131,              1,       450,          35,          3,        599,          131,           3,       443,         118,          4
  26,           201,             152,              1,       437,          38,          3,        649,          152,           4,       466,         124,          4
  27,           215,             164,              2,       468,          40,          3,        701,          164,           4,       485,         130,          4
  28,           240,             187,              2,       517,          44,          3,        755,          187,           4,       520,         136,          4
